name,url_slug,url,pdf_url,website,tags,meal_type,address,latitude,longitude
Serra by Birreria,serra-by-birreria,https://www.nyctourism.com/restaurant-week/serra-by-birreria,https://assets.ctfassets.net/1aemqu6a6t65/3zNbHfOQjA8TLQLUDJMyTB/a88400fc541e75bf5975080ff200e558/ENY_Serra-NYCRW2023_Lunch_and_Dinner__2_.pdf,https://www.eataly.com/us_en/stores/nyc-flatiron/nyc-restaurants,Restaurants; Flatiron District; Manhattan; New York City; Wheelchair Accessible; Italian; $$$; Breweries & Beer Gardens; Member Organization,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"Eataly NYC Flatiron, 200 Fifth Ave.,Manhattan,10010,NY",40.742045,-73.9900845
Mas Tortilla,mas-tortilla,https://www.nyctourism.com/restaurant-week/mas-tortilla,https://assets.ctfassets.net/1aemqu6a6t65/5PRLcUnxrtqB2GsmTtxdpU/931c998fea23f896528bbc851a7df960/MAS_TORTILLA_NYC_RESTAURANT_WEEK_23__1_.pdf,https://mastortilla.com,Restaurants; Forest Hills; Queens; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Latino Owned; Mexican; Vegetarian Options; Gluten-Free; $$$,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_45,"113-27B Queens Blvd.,Queens,11375,NY",40.7175843,-73.8348158
Harta,harta,https://www.nyctourism.com/restaurant-week/harta,https://assets.ctfassets.net/1aemqu6a6t65/2Ri2Ij4bsQeXUOAKRTYZzy/3ddf135bc8bc4d02deb7c3612ea23c6e/Harta_Restaurant_Week_Menu_Summer_2023_7.11.23.pdf,https://www.hartanyc.com,Restaurants; Garment District; Manhattan; New York City; Wheelchair Accessible; American (New); Vegetarian Options; Vegan Options; $$$$,Lunch_Price_45; Dinner_Price_60,"30 W. 39th St.,Manhattan,10018,NY",40.7520979,-73.9838551
Gaudir,gaudir,https://www.nyctourism.com/restaurant-week/gaudir,,https://www.gaudir-spanish-tapas.com,Restaurants; East Harlem; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Woman Owned; Spanish; Vegetarian Options; Gluten-Free; $$$; Member Organization; Outdoor Dining,Dinner_Price_60,"251 E. 110th St.,Manhattan,10029,NY",40.7934982,-73.9410433
Au Jus - Harlem,au-jus-harlem,https://www.nyctourism.com/restaurant-week/au-jus-harlem,,,Restaurants; East Harlem; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Barbecue; Vegetarian Options; Vegan Options; Gluten-Free; $$$; Member Organization; Outdoor Dining,Lunch_Price_30; Dinner_Price_45; Sunday_LunchBrunch_Price_30; Sunday_Dinner_30,"1569 Lexington Ave.,Manhattan,10029,NY",40.7885806,-73.9486339
Havana Central,havana-central-times-square,https://www.nyctourism.com/restaurant-week/havana-central-times-square,https://assets.ctfassets.net/1aemqu6a6t65/11K6TclRRmZA0FJfx5i8RG/03bb69a6696a3afdd45c745628364367/PDFsam_merge.pdf,https://havanacentral.com,Restaurants; Times Square/Theatre District; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; Cuban; Vegetarian Options; Vegan Options; Gluten-Free; Free WiFi; Organic; Internet; $$$; Member Organization,Lunch_Price_30; Dinner_Price_45,"151 W. 46th St.,Manhattan,10036,NY",40.7583422,-73.9841102
Evalyn’s Tap House,evalyns-tap-house,https://www.nyctourism.com/restaurant-week/evalyns-tap-house,https://assets.ctfassets.net/1aemqu6a6t65/3VXVeFENrvqKmZdNtoyjp5/0b42b036dacc409c74247c71d85a551e/Summer_Restaurant_Week.pdf,https://www.evalynstaphouse.com,Restaurants; Boerum Hill; Brooklyn; New York City; Mastercard Offer; Large Print; Wheelchair Accessible; Vegetarian Options; Vegan Options; Gluten-Free; $$$; Bar; Beer; Gastropub,Dinner_Price_30; Sunday_Dinner_30,"236 Butler St.,Brooklyn,11217,NY",40.681481,-73.985532
Gallow Green,gallow-green-chelsea,https://www.nyctourism.com/restaurant-week/gallow-green-chelsea,https://assets.ctfassets.net/1aemqu6a6t65/1fVmHoWQJhNOnST4OBtjqm/5c0558a6ce972942bf6e54484f438886/Gallow_Green_RW_menu-2023.pdf,https://mckittrickhotel.com/gallow-green,Restaurants; Chelsea; Manhattan; New York City; Mastercard Offer; American (New); Kosher; Vegetarian Options; Vegan Options; Gluten-Free; $$$$; Bar; Member Organization; Lounge,Dinner_Price_60; Sunday_Dinner_Price_60,"The McKittrick Hotel, 530 W. 27th St.,Manhattan,10001,NY",40.75066,-74.003805
Singapura,laut-singapura,https://www.nyctourism.com/restaurant-week/laut-singapura,https://assets.ctfassets.net/1aemqu6a6t65/6CPUWzcCQkquEVXHzxTZck/c7b157983fd0fa40e4d273fe81e22703/20230719_100154_0000.pdf,https://singapura.nyc,Restaurants; Gramercy; Manhattan; New York City; Mastercard Offer; Asian American Owned; Asian Fusion; Malaysian; $$$$,Lunch_Price_30; Dinner_Price_60; Sunday_LunchBrunch_Price_45; Sunday_Dinner_45,"31 E. 20th St.,Manhattan,10003,NY",40.7389849,-73.9889528
Bowery Road,bowery-road,https://www.nyctourism.com/restaurant-week/bowery-road,https://assets.ctfassets.net/1aemqu6a6t65/1DJHLgghASWx63AT12bqnn/6e1383977f0f22b8e1c07aa342cde5cc/PDFsam_merge.pdf,https://www.boweryroad.com,Restaurants; East Village; Manhattan; New York City; Mastercard Offer; Wheelchair Accessible; American (New); Vegetarian Options; Gluten-Free; $$$; Member Organization; Outdoor Dining,Lunch_Price_45; Dinner_Price_60,"132 Fourth Ave.,Manhattan,10003,NY",40.7333427,-73.9901924
